test_round,subj,stim,response,emotion,correct,rt
1,206,img\Rafd090_07_Caucasian_male_contemptuous_frontal.jpg,5,2,0,0.43688826622360466
1,206,img\Rafd090_02_Caucasian_female_contemptuous_frontal.jpg,5,2,0,0.4660631364024539
1,206,img\Rafd090_10_Caucasian_male_happy_frontal.jpg,5,5,1,0.45047374798502915
1,206,img\Rafd090_05_Caucasian_male_angry_frontal.jpg,1,1,1,1.527032725614049
1,206,img\Rafd090_02_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.3522152973976063
1,206,img\Rafd090_04_Caucasian_female_fearful_frontal.jpg,4,4,1,1.3360481334779024
1,206,img\Rafd090_09_Caucasian_male_fearful_frontal.jpg,7,4,0,1.160578768456844
1,206,img\Rafd090_05_Caucasian_male_fearful_frontal.jpg,7,4,0,3.9290654900154323
1,206,img\Rafd090_14_Caucasian_female_surprised_frontal.jpg,7,7,1,1.6188562093024075
1,206,img\Rafd090_12_Caucasian_female_surprised_frontal.jpg,7,7,1,0.10406102947683848
1,206,img\Rafd090_14_Caucasian_female_sad_frontal.jpg,6,6,1,0.6259123934707986
1,206,img\Rafd090_08_Caucasian_female_contemptuous_frontal.jpg,5,2,0,0.6072454661533584
1,206,img\Rafd090_03_Caucasian_male_fearful_frontal.jpg,4,4,1,1.4209839249947436
1,206,img\Rafd090_05_Caucasian_male_happy_frontal.jpg,5,5,1,0.7701725724197104
1,206,img\Rafd090_12_Caucasian_female_disgusted_frontal.jpg,2,3,0,2.345329156717753
1,206,img\Rafd090_10_Caucasian_male_angry_frontal.jpg,1,1,1,1.2498301892353538
1,206,img\Rafd090_02_Caucasian_female_surprised_frontal.jpg,7,7,1,0.8377108671131737
1,206,img\Rafd090_09_Caucasian_male_happy_frontal.jpg,5,5,1,0.8982187324002098
1,206,img\Rafd090_08_Caucasian_female_fearful_frontal.jpg,7,4,0,1.6600678622461373
1,227,img\Rafd090_07_Caucasian_male_sad_frontal.jpg,5,6,0,4.158646792930085
1,227,img\Rafd090_07_Caucasian_male_disgusted_frontal.jpg,3,3,1,5.093593844270799
1,227,img\Rafd090_08_Caucasian_female_sad_frontal.jpg,2,6,0,3.360055592376739
1,227,img\Rafd090_09_Caucasian_male_contemptuous_frontal.jpg,7,2,0,8.392378048039973
1,227,img\Rafd090_14_Caucasian_female_happy_frontal.jpg,5,5,1,1.5830072137177922
1,227,img\Rafd090_04_Caucasian_female_fearful_frontal.jpg,4,4,1,7.037369086756371
1,227,img\Rafd090_02_Caucasian_female_happy_frontal.jpg,5,5,1,1.8578379170503467
1,227,img\Rafd090_10_Caucasian_male_angry_frontal.jpg,3,1,0,3.0295471809222363
1,227,img\Rafd090_02_Caucasian_female_sad_frontal.jpg,2,6,0,1.850055728922598
1,227,img\Rafd090_05_Caucasian_male_sad_frontal.jpg,6,6,1,6.477887477260083
1,227,img\Rafd090_02_Caucasian_female_contemptuous_frontal.jpg,4,2,0,8.144757697184104
1,227,img\Rafd090_05_Caucasian_male_fearful_frontal.jpg,7,4,0,1.1060676863999106
1,227,img\Rafd090_07_Caucasian_male_surprised_frontal.jpg,7,7,1,0.8838210543617606
1,227,img\Rafd090_09_Caucasian_male_angry_frontal.jpg,3,1,0,5.90287686517695
1,227,img\Rafd090_03_Caucasian_male_contemptuous_frontal.jpg,7,2,0,5.624604064098094
1,227,img\Rafd090_03_Caucasian_male_happy_frontal.jpg,5,5,1,1.6857777099357918
1,227,img\Rafd090_10_Caucasian_male_sad_frontal.jpg,4,6,0,2.7122644553892314
1,227,img\Rafd090_10_Caucasian_male_fearful_frontal.jpg,4,4,1,5.193994000146631
1,227,img\Rafd090_07_Caucasian_male_fearful_frontal.jpg,4,4,1,1.656636084022466
1,227,img\Rafd090_04_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.508329547708854
1,227,img\Rafd090_14_Caucasian_female_fearful_frontal.jpg,4,4,1,1.4221852557966486
1,227,img\Rafd090_12_Caucasian_female_happy_frontal.jpg,5,5,1,1.4027027898700908
1,227,img\Rafd090_09_Caucasian_male_happy_frontal.jpg,5,5,1,1.7772174892015755
1,227,img\Rafd090_02_Caucasian_female_surprised_frontal.jpg,7,7,1,1.200524149578996
1,227,img\Rafd090_14_Caucasian_female_surprised_frontal.jpg,7,7,1,1.238930551102385
1,227,img\Rafd090_08_Caucasian_female_surprised_frontal.jpg,7,7,1,0.8834589406033047
1,227,img\Rafd090_14_Caucasian_female_contemptuous_frontal.jpg,6,2,0,4.237918680475559
1,227,img\Rafd090_10_Caucasian_male_happy_frontal.jpg,5,5,1,1.3232124549685977
1,227,img\Rafd090_02_Caucasian_female_fearful_frontal.jpg,2,4,0,4.372188420791645
1,227,img\Rafd090_05_Caucasian_male_angry_frontal.jpg,1,1,1,0.9713799792807549
1,227,img\Rafd090_07_Caucasian_male_contemptuous_frontal.jpg,3,2,0,9.202361403848045
1,227,img\Rafd090_12_Caucasian_female_angry_frontal.jpg,1,1,1,2.0723113595158793
1,227,img\Rafd090_12_Caucasian_female_contemptuous_frontal.jpg,3,2,0,6.035242327663582
1,227,img\Rafd090_02_Caucasian_female_angry_frontal.jpg,1,1,1,0.7518946587224491
1,227,img\Rafd090_04_Caucasian_female_contemptuous_frontal.jpg,2,2,1,6.439489453681745
1,227,img\Rafd090_12_Caucasian_female_surprised_frontal.jpg,7,7,1,1.2839999081916176
1,227,img\Rafd090_09_Caucasian_male_fearful_frontal.jpg,7,4,0,1.0545330314780585
1,227,img\Rafd090_04_Caucasian_female_surprised_frontal.jpg,7,7,1,0.6665416179457679
1,227,img\Rafd090_03_Caucasian_male_angry_frontal.jpg,2,1,0,6.973560419341084
1,227,img\Rafd090_08_Caucasian_female_fearful_frontal.jpg,7,4,0,1.4839413245208561
1,227,img\Rafd090_03_Caucasian_male_surprised_frontal.jpg,7,7,1,0.47048943385016173
1,227,img\Rafd090_08_Caucasian_female_contemptuous_frontal.jpg,2,2,1,2.057661421422381
1,227,img\Rafd090_14_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.653486283728853
1,227,img\Rafd090_09_Caucasian_male_disgusted_frontal.jpg,3,3,1,2.0573213386232965
1,227,img\Rafd090_05_Caucasian_male_surprised_frontal.jpg,7,7,1,1.253144835587591
1,227,img\Rafd090_14_Caucasian_female_angry_frontal.jpg,1,1,1,0.7050401769229211
1,227,img\Rafd090_07_Caucasian_male_happy_frontal.jpg,5,5,1,1.7955524856806733
1,227,img\Rafd090_12_Caucasian_female_disgusted_frontal.jpg,2,3,0,1.530067855201196
1,227,img\Rafd090_04_Caucasian_female_sad_frontal.jpg,6,6,1,1.506720049714204
1,227,img\Rafd090_10_Caucasian_male_disgusted_frontal.jpg,3,3,1,2.1070894864969887
1,227,img\Rafd090_09_Caucasian_male_sad_frontal.jpg,6,6,1,1.1089425657410175
1,227,img\Rafd090_10_Caucasian_male_surprised_frontal.jpg,7,7,1,0.9748177329893224
1,227,img\Rafd090_03_Caucasian_male_fearful_frontal.jpg,7,4,0,6.46986356965499
1,227,img\Rafd090_03_Caucasian_male_disgusted_frontal.jpg,3,3,1,2.361006334947888
1,227,img\Rafd090_02_Caucasian_female_disgusted_frontal.jpg,3,3,1,1.657518561813049
1,227,img\Rafd090_08_Caucasian_female_angry_frontal.jpg,1,1,1,1.3493715293589048
1,227,img\Rafd090_08_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.605192655697465
1,227,img\Rafd090_14_Caucasian_female_sad_frontal.jpg,7,6,0,6.2589076265576296
1,227,img\Rafd090_12_Caucasian_female_sad_frontal.jpg,6,6,1,1.9267527920310386
1,227,img\Rafd090_07_Caucasian_male_angry_frontal.jpg,1,1,1,1.6960391517495736
1,227,img\Rafd090_08_Caucasian_female_happy_frontal.jpg,5,5,1,1.5618960115825757
